ds,y
2015-07-07 ,1.660433807
2015-07-08 ,1.713537771
2015-07-09 ,1.653702319
2015-07-10 ,1.240089753
2015-07-11 ,0.4442782349
2015-07-12 ,0.4293193717
2015-07-13 ,1.528047868
2015-07-14 ,1.635751683
2015-07-15 ,1.614061331
2015-07-16 ,1.534779357
2015-07-17 ,1.237845924
2015-07-18 ,0.4397905759
2015-07-19 ,0.4435302917
2015-07-20 ,1.640239342
2015-07-21 ,1.716529544
2015-07-22 ,1.748691099
2015-07-23 ,1.591623037
2015-07-24 ,1.206432311
2015-07-25 ,0.4263275991
2015-07-26 ,0.4465220643
2015-07-27 ,1.634255797
2015-07-28 ,1.707554226
2015-07-29 ,1.670905011
2015-07-30 ,1.474195961
2015-07-31 ,1.183246073
2015-08-01 ,0.4375467464
2015-08-02 ,0.4562453254
2015-08-03 ,1.676140613
2015-08-04 ,1.792071803
2015-08-05 ,1.68960359
2015-08-06 ,1.598354525
2015-08-07 ,1.261032162
2015-08-08 ,0.4300673149
2015-08-09 ,0.5048616305
2015-08-10 ,1.700822737
2015-08-11 ,1.741959611
2015-08-12 ,1.728496634
2015-08-13 ,1.690351533
2015-08-14 ,1.364248317
2015-08-15 ,0.5100972326
2015-08-16 ,0.5048616305
2015-08-17 ,1.782348542
2015-08-18 ,1.862378459
2015-08-19 ,1.969334331
2015-08-20 ,1.715033657
2015-08-21 ,1.340314136
2015-08-22 ,0.5123410621
2015-08-23 ,0.4996260284
2015-08-24 ,1.805534779
2015-08-25 ,1.862378459
2015-08-26 ,1.735976066
2015-08-27 ,1.730740464
2015-08-28 ,1.317127898
2015-08-29 ,0.4876589379
2015-08-30 ,0.49289454
2015-08-31 ,1.730740464
2015-09-01 ,1.76065819
2015-09-02 ,1.71802543
2015-09-03 ,1.54749439
2015-09-04 ,1.193717277
2015-09-05 ,0.4360508601
2015-09-06 ,0.3597606582
2015-09-07 ,0.6065818998
2015-09-08 ,1.694839192
2015-09-09 ,1.743455497
2015-09-10 ,1.646222887
2015-09-11 ,1.369483919
2015-09-12 ,0.4727000748
2015-09-13 ,0.4697083022
2015-09-14 ,1.608077786
2015-09-15 ,1.608077786
2015-09-16 ,1.653702319
2015-09-17 ,1.525056096
2015-09-18 ,1.332834705
2015-09-19 ,0.4629768138
2015-09-20 ,0.4779356769
2015-09-21 ,1.713537771
2015-09-22 ,1.703066567
2015-09-23 ,1.593118923
2015-09-24 ,1.621540763
2015-09-25 ,1.237097981
2015-09-26 ,0.4427823485
2015-09-27 ,0.4704562453
2015-09-28 ,1.727000748
2015-09-29 ,1.798803291
2015-09-30 ,1.557965595
2015-10-01 ,1.483171279
2015-10-02 ,1.329842932
2015-10-03 ,0.473448018
2015-10-04 ,0.4674644727
2015-10-05 ,1.710545999
2015-10-06 ,1.839192221
2015-10-07 ,1.745699327
2015-10-08 ,1.584143605
2015-10-09 ,1.340314136
2015-10-10 ,0.5048616305
2015-10-11 ,0.5056095737
2015-10-12 ,1.634255797
2015-10-13 ,1.813762154
2015-10-14 ,1.795811518
2015-10-15 ,1.579655946
2015-10-16 ,1.29394166
2015-10-17 ,0.4375467464
2015-10-18 ,0.4652206432
2015-10-19 ,1.709050112
2015-10-20 ,1.771877337
2015-10-21 ,1.718773373
2015-10-22 ,1.660433807
2015-10-23 ,1.416604338
2015-10-24 ,0.5183246073
2015-10-25 ,0.5482423336
2015-10-26 ,1.881077038
2015-10-27 ,1.905759162
2015-10-28 ,1.827973074
2015-10-29 ,1.73448018
2015-10-30 ,1.304412865
2015-10-31 ,0.4607329843
2015-11-01 ,0.5003739716
2015-11-02 ,1.884816754
2015-11-03 ,1.950635752
2015-11-04 ,1.924457741
2015-11-05 ,1.712789828
2015-11-06 ,1.394913987
2015-11-07 ,0.5474943904
2015-11-08 ,0.5086013463
2015-11-09 ,1.820493642
2015-11-10 ,1.878085266
2015-11-11 ,1.715033657
2015-11-12 ,1.696335079
2015-11-13 ,1.37920718
2015-11-14 ,0.4809274495
2015-11-15 ,0.5220643231
2015-11-16 ,1.670157068
2015-11-17 ,1.804038893
2015-11-18 ,1.742707554
2015-11-19 ,1.625280479
2015-11-20 ,1.303664921
2015-11-21 ,0.4554973822
2015-11-22 ,0.4682124159
2015-11-23 ,1.545998504
2015-11-24 ,1.419596111
2015-11-25 ,0.990276739
2015-11-26 ,0.2146596859
2015-11-27 ,0.4839192221
2015-11-28 ,0.3627524308
2015-11-29 ,0.4300673149
2015-11-30 ,1.489902767
2015-12-01 ,1.664921466
2015-12-02 ,1.641735228
2015-12-03 ,1.525804039
2015-12-04 ,1.254300673
2015-12-05 ,0.4143605086
2015-12-06 ,0.4136125654
2015-12-07 ,1.620044877
2015-12-08 ,1.669409125
2015-12-09 ,1.541510845
2015-12-10 ,1.416604338
2015-12-11 ,1.164547494
2015-12-12 ,0.4225878833
2015-12-13 ,0.4023934181
2015-12-14 ,1.512341062
2015-12-15 ,1.494390426
2015-12-16 ,1.422587883
2015-12-17 ,1.305908751
2015-12-18 ,1.04038893
2015-12-19 ,0.3418100224
2015-12-20 ,0.3298429319
2015-12-21 ,1.151084518
2015-12-22 ,1.163799551
2015-12-23 ,0.9483919222
2015-12-24 ,0.3365744203
2015-12-25 ,0.1264023934
2015-12-26 ,0.3006731488
2015-12-27 ,0.3762154076
2015-12-28 ,1.271503366
2015-12-29 ,1.341062079
2015-12-30 ,1.214659686
2015-12-31 ,0.6514584892
2016-01-01 ,0.3642483171
2016-01-02 ,0.4629768138
2016-01-03 ,0.5175766642
2016-01-04 ,1.910994764
2016-01-05 ,2.02617801
2016-01-06 ,1.756170531
2016-01-07 ,1.798055348
2016-01-08 ,1.566192969
